mac_address,gym,login,logout
b8:45:8d:3c:3e:aa,101,1767434117,1767438377
aa:26:51:ce:a1:9e,103,1767473717,1767480137
40:88:d6:8a:86:b3,103,1767470117,1767473657
0e:86:f3:5b:a7:5e,105,1767452117,1767455897
3c:8f:69:b9:a2:45,108,1767416117,1767422177
fc:91:62:47:01:f6,110,1767459317,1767465077
9c:79:d5:bd:73:f8,107,1767408917,1767413897
c0:33:39:d4:51:71,106,1767437717,1767440417
3c:f6:c8:c0:6d:c6,107,1767419717,1767422897
c4:fa:44:c1:86:31,105,1767426917,1767431957
d2:99:9d:8d:a0:cb,105,1767470117,1767473417
8e:ee:47:13:de:b2,101,1767459317,1767466277
c6:bb:88:c5:83:b3,102,1767448517,1767455717
54:9c:76:ce:55:d6,103,1767434117,1767438497
30:38:2e:e0:db:8f,109,1767412517,1767418577
c8:be:74:a5:94:2f,101,1767426917,1767430217
18:3b:aa:88:98:da,104,1767430517,1767434297
ba:2c:4e:70:5c:81,109,1767452117,1767455777
f6:4d:8d:57:83:fc,105,1767466517,1767473657
ec:45:67:0b:ce:8c,102,1767394517,1767398597
2c:f4:b0:b7:78:c2,108,1767470117,1767472817
64:2a:86:1b:53:55,107,1767441317,1767448217
82:e7:0b:75:59:e0,101,1767462917,1767468317
28:9c:f9:11:02:ca,108,1767430517,1767437117
3e:c5:c9:d7:1b:79,107,1767401717,1767404957
ca:74:7f:fd:96:17,104,1767416117,1767422957
ea:bb:19:5b:a0:17,101,1767416117,1767421757
84:c4:a1:df:e1:b0,109,1767473717,1767476837
b2:cf:04:76:f2:cc,102,1767408917,1767414497
62:64:a5:c7:7c:4e,105,1767455717,1767460457
ee:f1:c8:2a:72:68,105,1767437717,1767440417
d0:55:12:ac:c1:42,109,1767466517,1767472157
bc:00:1c:83:73:24,107,1767462917,1767467477
4c:63:8e:39:4e:e0,110,1767459317,1767465617
44:cf:a4:5d:24:3f,102,1767444917,1767449117
9a:80:a9:e8:a5:bf,110,1767408917,1767415577
26:40:d0:e7:a6:51,101,1767459317,1767462077
60:8d:d8:98:0b:04,107,1767430517,1767434177
62:d5:17:50:4a:5c,104,1767459317,1767463577
c2:5f:4b:96:62:ab,103,1767437717,1767441077
5c:d1:92:28:b6:6b,109,1767412517,1767417437
b0:53:f5:7c:e9:71,104,1767441317,1767447977
a2:1b:41:37:05:79,109,1767419717,1767425657
34:a4:1f:c5:5f:3e,109,1767394517,1767401057
04:03:da:95:5b:28,102,1767416117,1767420377
ec:14:a2:df:8d:d5,107,1767394517,1767398297
22:da:09:64:7a:24,106,1767448517,1767452237
96:85:d1:6d:e2:95,102,1767426917,1767430157
f0:9f:68:ab:66:d3,103,1767473717,1767476897
a6:56:42:8c:16:53,108,1767455717,1767458417
b2:5a:c4:74:b7:ab,109,1767423317,1767426737
5c:7a:e2:42:7a:3d,107,1767452117,1767457937
8e:f1:c7:a8:0f:89,108,1767455717,1767461117
60:a2:af:54:a2:87,110,1767408917,1767412637
14:11:7a:b1:6d:42,105,1767426917,1767433997
da:d1:67:da:fa:d9,109,1767416117,1767421817
36:d7:95:35:32:f2,103,1767437717,1767443357
a4:ce:b3:74:7b:37,103,1767470117,1767473897
48:d1:a3:a4:cd:70,106,1767426917,1767432677
d0:80:10:08:59:c0,109,1767473717,1767479597
e2:b2:dc:ab:ff:c7,110,1767462917,1767466457
ae:16:db:df:16:0d,102,1767444917,1767451097
74:ec:68:99:4f:1d,104,1767405317,1767408497
f4:d1:99:a9:88:13,108,1767398117,1767402317
e2:7d:39:96:6f:67,110,1767473717,1767477677
ae:b2:2a:11:6e:88,104,1767452117,1767455417
7e:fa:c7:e8:ed:31,107,1767401717,1767405617
a2:24:9b:5e:d4:6f,109,1767394517,1767401297
12:7e:8f:40:98:a0,108,1767441317,1767447857
00:d1:b7:51:5b:9d,101,1767412517,1767416177
