user_id,device_id,mac_address,registration_timestamp
user4_3a38ec78,device4_53cf59a4,b8:45:8d:3c:3e:aa,1723503317.234779
user4_eb3451b8,device4_96e57d59,1a:36:17:38:62:8e,1708383317.234798
user4_7aed9aa9,device4_5ea1ea06,f4:ee:41:8c:df:4b,1725317717.234809
user4_b06e72db,device4_80ad4a33,aa:26:51:ce:a1:9e,1716332117.234818
user4_fb91cd97,device4_bbdff0b6,40:88:d6:8a:86:b3,1722207317.234826
user4_06dc117d,device4_101a68ae,0e:86:f3:5b:a7:5e,1710024917.234834
user4_b6c44b68,device4_67cf8c61,3c:8f:69:b9:a2:45,1709592917.234841
user4_dacf1752,device4_b6b2cbde,fc:91:62:47:01:f6,1717368917.234849
user4_8d6b788f,device4_123de0e8,9c:79:d5:bd:73:f8,1728428117.234856
user4_f3d898ab,device4_2ae2e791,c0:33:39:d4:51:71,1726095317.234863
user4_03b23a29,device4_e5404112,6e:3a:c1:c9:59:6e,1730501717.23487
user4_d1cdb5ba,device4_8f830657,3c:f6:c8:c0:6d:c6,1712789717.234877
user4_fbe60255,device4_13d70615,c4:fa:44:c1:86:31,1722034517.234884
user4_92ce8552,device4_cc4d27d6,84:27:da:dd:57:1a,1714344917.234891
user4_891abd7a,device4_2d73cb5a,d4:47:1a:b4:6f:36,1716936917.234898
user4_e5e113e8,device4_5a2e5a6e,d2:99:9d:8d:a0:cb,1723503317.234905
user4_37c2e5ef,device4_337025f3,8e:ee:47:13:de:b2,1732402517.234912
user4_bd76fac7,device4_d7a128c3,c6:bb:88:c5:83:b3,1728428117.234919
user4_a6e59bb6,device4_ee74b787,54:9c:76:ce:55:d6,1709679317.234926
user4_c9188f3e,device4_13821928,30:38:2e:e0:db:8f,1710197717.234933
user4_ff3c92fe,device4_823a46b1,c8:be:74:a5:94:2f,1725490517.23494
user4_b7c78567,device4_3c160a6a,18:3b:aa:88:98:da,1730415317.234947
user4_d76a90b7,device4_e6d92031,ba:2c:4e:70:5c:81,1713308117.234953
user4_be616cdb,device4_3f84f507,f6:4d:8d:57:83:fc,1712444117.23496
user4_c3853c80,device4_11b1d974,f8:18:44:5b:9c:bb,1730674517.234967
user4_2da60833,device4_39c02d6a,ec:45:67:0b:ce:8c,1734735317.234974
user4_21cea76f,device4_ff3f6a8f,2c:f4:b0:b7:78:c2,1728082517.23498
user4_570366e4,device4_f07e4516,64:2a:86:1b:53:55,1709679317.234986
user4_83e8840a,device4_926b32c5,82:e7:0b:75:59:e0,1721688917.234992
user4_ff439aa9,device4_0c6b83f1,e4:1e:d1:95:2d:ce,1728255317.234999
user4_3427918d,device4_09c3570e,28:9c:f9:11:02:ca,1716850517.235005
user4_14aee184,device4_ab04c67f,3e:c5:c9:d7:1b:79,1730069717.235011
user4_4be2fecd,device4_38c201f5,ca:74:7f:fd:96:17,1727132117.235017
user4_4a0b825a,device4_19889de6,ea:bb:19:5b:a0:17,1724280917.235023
user4_21e2366e,device4_05dc20e4,da:19:83:6a:0b:5a,1722120917.235029
user4_72e580dd,device4_482f941c,9c:fc:6b:c5:89:fb,1708037717.235035
user4_fe69883c,device4_c91b4b1a,84:c4:a1:df:e1:b0,1705013717.235041
user4_73bcbf01,device4_6e851d64,a2:96:f8:ca:36:6f,1710284117.235047
user4_39f1ec71,device4_46b64a78,b2:cf:04:76:f2:cc,1718664917.235053
user4_f8c41104,device4_2ead32ed,26:10:1d:c1:fe:12,1731538517.235059
user4_40a01cfd,device4_284c6c95,30:6c:a7:ec:00:50,1735426517.235065
user4_e1df3281,device4_24279253,62:64:a5:c7:7c:4e,1731711317.235071
user4_3bb69ecf,device4_ac687d5a,ee:f1:c8:2a:72:68,1727823317.235077
user4_1674b512,device4_0223fb2f,d0:55:12:ac:c1:42,1720997717.235085
user4_73b883ce,device4_b8fa606a,f2:83:c0:a4:75:f1,1709592917.235092
user4_34b7ce6a,device4_017d4734,4e:cc:9b:88:ed:f5,1717887317.235098
user4_b1b5f031,device4_51e0a2c1,bc:00:1c:83:73:24,1706828117.235104
user4_74a4177a,device4_d7d6b67f,06:22:6d:7c:cb:6a,1719442517.23511
user4_d179bb18,device4_5341253d,4c:63:8e:39:4e:e0,1711407317.235117
user4_7ec21da6,device4_456da997,44:cf:a4:5d:24:3f,1714431317.235123
user4_d742e9a7,device4_d5a0fc37,9a:80:a9:e8:a5:bf,1715208917.235129
user4_94d84e10,device4_ca58de76,ee:6b:8a:2b:f4:c6,1714431317.235135
user4_cd8eccff,device4_f67b2a2c,26:40:d0:e7:a6:51,1721775317.235141
user4_94302943,device4_7a3846aa,b2:3a:88:14:c8:c4,1710024917.235147
user4_d8c689b2,device4_131a73b3,60:8d:d8:98:0b:04,1734735317.235153
user4_a20f2d9e,device4_aea358b1,62:85:bd:d3:7f:2a,1710716117.235159
user4_386d36cb,device4_0706ed8c,62:d5:17:50:4a:5c,1706655317.235165
user4_e3f652c2,device4_2c02d185,c2:5f:4b:96:62:ab,1719269717.235172
user4_70ea8419,device4_07626f50,5c:d1:92:28:b6:6b,1723935317.235178
user4_ac3663fa,device4_d02e3bb4,b0:53:f5:7c:e9:71,1715813717.235184
user4_6016c6fc,device4_c1531327,a2:1b:41:37:05:79,1722812117.23519
user4_8584c535,device4_9f8f0b5e,34:a4:1f:c5:5f:3e,1715640917.235196
user4_20b418e3,device4_8bc950da,d4:42:63:42:2d:e4,1719442517.235202
user4_8a6d427f,device4_a9819cb7,04:03:da:95:5b:28,1710456917.235209
user4_58991954,device4_a6e58b72,ec:14:a2:df:8d:d5,1721948117.235215
user4_20e32073,device4_c2b6c48d,22:da:09:64:7a:24,1714431317.235221
user4_ac7e4574,device4_a51b7140,96:85:d1:6d:e2:95,1724799317.235227
user4_b7a57456,device4_cca1aaf2,d8:91:5d:cc:cb:4f,1735080917.235233
user4_960b5024,device4_cdd34d94,00:8f:cc:2e:3f:83,1719960917.235239
user4_c20b7686,device4_681e2873,f0:9f:68:ab:66:d3,1728168917.235245
user4_282f1387,device4_56857a3e,a6:56:42:8c:16:53,1718578517.235251
user4_0160c54b,device4_871d36e1,b2:5a:c4:74:b7:ab,1715036117.235257
user4_e646be0f,device4_0c4c3cdd,5c:7a:e2:42:7a:3d,1709938517.235263
user4_2e58e60e,device4_b6540881,8e:f1:c7:a8:0f:89,1714431317.235269
user4_4688d4fa,device4_a7078b15,60:a2:af:54:a2:87,1729205717.235275
user4_6c8f01d7,device4_62e76892,14:11:7a:b1:6d:42,1732229717.235281
user4_9d9c2b97,device4_8766fb1d,da:d1:67:da:fa:d9,1709592917.235287
user4_5990900c,device4_f6e524bb,ae:f9:ab:1a:16:85,1713567317.235294
user4_ba37a34e,device4_0827172e,36:d7:95:35:32:f2,1724712917.2353
user4_7249acbd,device4_6b0cf43c,a4:ce:b3:74:7b:37,1709333717.235306
user4_8406a81f,device4_d68f847b,bc:9b:a6:17:a2:2e,1711320917.235312
user4_b76b63c1,device4_2b321b29,48:d1:a3:a4:cd:70,1723935317.235318
user4_4a0f2982,device4_95751265,d4:8d:5a:ed:8d:6d,1725144917.235324
user4_a862c2f7,device4_2152e806,00:39:51:20:d4:43,1704581717.23533
user4_6fcdb023,device4_01a1f3af,d0:80:10:08:59:c0,1735512917.235336
user4_97c8dfa8,device4_11aa15e4,e2:b2:dc:ab:ff:c7,1712876117.235342
user4_da477f3a,device4_3ef3c417,ae:16:db:df:16:0d,1734389717.235348
user4_b4965378,device4_e452d356,74:ec:68:99:4f:1d,1714517717.235356
user4_88de46b9,device4_1701062f,f4:d1:99:a9:88:13,1731624917.235361
user4_d4f39b93,device4_6d39e7d0,e2:7d:39:96:6f:67,1734648917.235368
user4_ef760de4,device4_1ae04d0b,12:25:89:a8:94:7d,1719183317.235374
user4_619e5964,device4_0f725b0f,da:88:6f:5b:a1:d5,1733784917.23538
user4_869b9829,device4_c7bec851,d8:60:f8:e3:fd:35,1716591317.235386
user4_c3ab9e5e,device4_7ab94638,ae:b2:2a:11:6e:88,1717887317.235392
user4_6a1f52c1,device4_4891b2fb,7e:fa:c7:e8:ed:31,1717800917.235398
user4_0f259761,device4_761b2c5a,08:9b:cf:51:45:72,1728341717.235404
user4_ad99f5b8,device4_e7a50367,a2:24:9b:5e:d4:6f,1714776917.23541
user4_1f1f5ec8,device4_4fd5e79e,12:7e:8f:40:98:a0,1721516117.235416
user4_96e416b8,device4_c05ff834,00:d1:b7:51:5b:9d,1712012117.235422
user4_43be56e6,device4_9afe2eaa,12:58:5f:98:8c:c6,1705791317.235428
