mac_address,gym,login,logout
ea:fc:97:ca:ea:9f,106,1767408876,1767415836
72:8a:30:bf:cd:4f,104,1767394476,1767397416
c4:83:ac:98:59:3a,103,1767416076,1767421176
d8:8c:23:11:16:b1,109,1767430476,1767436356
6a:bf:ac:c3:92:e0,108,1767408876,1767412296
10:97:a6:53:f9:6f,105,1767419676,1767425676
b4:b5:8d:3e:eb:7c,101,1767437676,1767443976
50:44:ed:55:b0:57,110,1767444876,1767450396
ac:64:aa:b6:58:3b,110,1767398076,1767402336
62:ca:e7:07:fa:14,108,1767455676,1767458736
ea:88:17:64:72:8b,106,1767441276,1767447276
fa:a8:a5:04:7e:47,108,1767448476,1767454356
e2:37:9b:8a:c6:51,101,1767466476,1767472416
4e:8d:0b:df:39:a3,107,1767470076,1767475476
d6:09:26:c4:45:f5,107,1767423276,1767429456
80:b2:4a:94:cc:fc,107,1767470076,1767476856
06:58:21:52:58:df,109,1767419676,1767422436
52:09:93:6d:d2:13,102,1767430476,1767436416
e8:10:9e:2a:d9:00,110,1767444876,1767451356
2c:4b:4e:91:79:84,110,1767416076,1767420096
04:59:48:5f:3e:9b,105,1767408876,1767413256
ca:5b:07:70:70:e1,102,1767412476,1767416616
46:00:1c:41:ca:6e,110,1767426876,1767430236
98:2d:f9:83:80:b4,104,1767426876,1767430956
7c:e8:05:98:06:4b,104,1767394476,1767399156
d0:d5:a3:17:96:d0,110,1767473676,1767477456
6e:12:f9:fd:8a:f4,108,1767437676,1767440676
68:4b:6d:81:65:35,107,1767466476,1767471936
06:f2:22:98:ae:1b,104,1767452076,1767458436
ae:f1:56:b0:a7:ce,104,1767444876,1767451416
66:02:a6:be:6c:59,108,1767408876,1767412896
a4:3b:f2:69:c2:cb,107,1767394476,1767400776
ca:f8:29:78:fe:76,109,1767441276,1767446016
44:ef:8c:00:34:dc,109,1767473676,1767477036
d4:c8:3e:4e:5b:43,107,1767444876,1767449856
f2:ad:c6:44:c8:49,103,1767405276,1767409596
0a:cd:f4:69:0e:9f,105,1767441276,1767444036
18:1d:48:3c:f5:06,109,1767470076,1767476976
32:72:3c:f9:45:4e,108,1767408876,1767412836
56:77:f8:2a:13:e7,108,1767408876,1767414816
f6:7a:6d:14:8e:14,103,1767466476,1767469716
ce:f8:72:8a:e8:59,110,1767398076,1767402156
4e:35:ee:c4:1b:41,102,1767444876,1767449676
38:58:91:ae:f1:61,108,1767434076,1767439776
fa:b0:ca:65:32:ae,107,1767412476,1767419436
08:68:5f:fa:dd:ed,106,1767441276,1767445056
90:b2:aa:49:d0:6f,104,1767416076,1767421776
d0:85:61:3a:40:1b,103,1767398076,1767405156
ea:40:fe:91:dd:5c,109,1767419676,1767422376
a8:1a:60:fe:ae:3f,103,1767416076,1767419496
36:02:43:c3:c4:74,101,1767441276,1767445416
f4:cd:ac:4e:16:86,107,1767412476,1767416616
e8:f7:d7:49:c7:d8,105,1767430476,1767436716
ac:18:e1:58:e0:c3,101,1767452076,1767455796
42:8f:fd:0f:d4:b5,101,1767466476,1767470136
84:68:a3:c1:1a:d7,105,1767412476,1767419676
f2:81:dc:19:c6:c1,101,1767462876,1767470076
6a:9b:64:64:a8:c4,106,1767426876,1767432696
56:76:a7:e8:62:32,109,1767398076,1767402996
de:8d:12:87:26:74,110,1767459276,1767465876
64:e2:d9:c7:d8:80,103,1767434076,1767437736
26:7d:49:f7:d9:59,103,1767430476,1767434436
30:7a:e8:2a:e6:8b,108,1767401676,1767408516
38:8f:86:89:b3:73,108,1767426876,1767430476
b8:7c:be:a9:20:86,108,1767408876,1767414276
