mac_address,gym,login,logout
de:5a:3c:ac:d6:1f,110,1767448445,1767452225
9c:e9:3d:61:e5:e8,101,1767470045,1767475325
fc:90:c8:16:d7:81,106,1767394445,1767397805
74:0d:2e:d3:5e:bd,101,1767394445,1767397805
26:c8:5e:23:97:31,102,1767452045,1767456965
a6:39:9f:96:c5:f1,110,1767448445,1767451925
98:6a:7e:e6:60:ed,105,1767394445,1767398465
e0:d7:3c:4e:94:88,109,1767412445,1767417245
54:fe:db:83:ab:f0,102,1767419645,1767426065
68:76:43:19:43:ba,105,1767473645,1767480005
4c:c5:b2:53:41:cf,103,1767394445,1767401345
a2:1c:92:bb:f3:f5,105,1767473645,1767476765
84:f7:0a:b6:48:83,102,1767401645,1767405905
b8:e8:62:33:ca:8e,110,1767405245,1767410105
22:28:54:ab:c0:c6,104,1767401645,1767406145
b2:83:ec:36:95:76,110,1767394445,1767399845
c6:84:6c:29:f7:0e,107,1767434045,1767439205
54:8a:76:f3:b2:74,101,1767412445,1767419345
14:99:d4:19:17:b7,105,1767452045,1767456665
fc:29:28:5e:6b:c0,107,1767401645,1767407765
9a:60:ed:af:2e:93,106,1767452045,1767457385
b4:b0:29:f1:96:97,106,1767401645,1767408065
9c:d3:ec:2a:b4:8b,102,1767444845,1767449585
5a:d6:f7:b7:a8:03,109,1767462845,1767466985
58:0c:23:4a:2a:76,107,1767444845,1767447545
60:5d:54:4a:5c:0c,109,1767394445,1767400385
b0:06:d0:b4:15:d4,110,1767408845,1767415385
de:f9:73:e6:65:a3,105,1767430445,1767433625
96:7e:e3:42:c1:5c,107,1767448445,1767453425
60:e9:20:d9:2d:c3,109,1767455645,1767461945
00:67:f5:f5:4c:8b,108,1767412445,1767415265
f6:6e:69:a2:b9:d0,102,1767426845,1767432125
fc:27:71:0d:8a:fd,108,1767426845,1767432545
0e:da:57:2e:d2:e5,106,1767437645,1767443105
38:d9:43:0e:68:92,104,1767444845,1767449705
20:e9:05:ad:da:8b,101,1767401645,1767408005
38:18:22:f6:4b:6b,103,1767423245,1767426365
e2:44:29:6e:f8:9c,102,1767459245,1767462785
0a:c6:d3:2a:f0:b6,105,1767430445,1767436505
10:66:25:70:71:36,102,1767394445,1767397805
78:a5:01:67:71:7c,108,1767430445,1767434465
b8:ba:ec:46:df:1d,108,1767459245,1767463865
12:52:33:da:e0:67,102,1767455645,1767459785
6c:73:49:fa:42:6a,110,1767441245,1767444545
6e:d9:a6:27:eb:1b,106,1767412445,1767417905
a2:28:89:81:07:fb,110,1767423245,1767429905
9c:23:f4:3f:df:53,109,1767441245,1767447245
9a:8b:a8:17:a7:79,108,1767405245,1767410525
40:9b:99:69:35:c1,108,1767452045,1767455405
58:4a:ef:63:94:37,101,1767437645,1767442985
7a:8d:7a:aa:24:86,102,1767437645,1767440405
76:7c:d2:65:5d:41,101,1767473645,1767480125
1e:33:6d:da:83:cf,107,1767444845,1767450305
c4:e3:83:3a:5b:ae,107,1767466445,1767470825
54:d2:c7:a1:8d:30,101,1767416045,1767421625
96:15:aa:d0:8c:15,102,1767398045,1767401165
c2:6d:d2:88:a4:49,101,1767441245,1767445985
20:a4:85:c1:a9:e0,101,1767437645,1767441905
3c:59:25:57:98:88,102,1767459245,1767462245
0e:8a:47:b4:b8:ad,110,1767437645,1767441845
3e:f4:1c:b3:d9:56,101,1767416045,1767420905
d6:c2:65:b4:b4:ec,103,1767401645,1767407165
d4:31:8e:8c:27:f6,103,1767394445,1767399305
60:76:5f:30:da:ed,105,1767394445,1767399965
36:20:8e:77:a2:74,107,1767412445,1767416225
fa:62:e6:45:fa:55,105,1767455645,1767458525
98:a7:0d:57:2f:5e,101,1767448445,1767451565
a2:09:fd:94:57:30,102,1767398045,1767400805
9a:de:63:72:4f:f7,101,1767466445,1767472805
1a:91:4c:50:9a:dc,110,1767473645,1767479405
c0:21:55:b3:f1:fd,106,1767466445,1767470825
f6:78:96:b4:d1:b4,103,1767419645,1767423725
ee:d1:94:09:b9:2b,104,1767408845,1767415025
86:a3:ff:5d:9f:3f,106,1767408845,1767415325
48:17:31:34:74:0b,109,1767473645,1767476585
70:c8:09:54:7a:9d,105,1767448445,1767451505
70:6d:c8:70:d7:66,109,1767405245,1767411425
e2:c3:1c:7d:07:31,102,1767462845,1767465605
